trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",20,0,-102.00318978910379,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",20,0,-70.15245924401599,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",25,0,-90.61285631678307,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",25,0,-153.8305426657214,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",30,0,-103.60462425973535,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",20,0,-92.609617894421,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",25,5,-72.68294080525781,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",25,0,-88.41666140911062,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",30,0,-93.48210424889389,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",20,0,-95.16028430691759,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",20,0,-53.48759288138804,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",20,0,-20.402678128656902,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",25,0,-84.53677171309255,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,5,-72.1574539970589,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",25,0,-121.54247682896312,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",20,0,-88.48430337878737,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",30,0,-157.31080844678547,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",30,0,-141.31972411389452,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",20,0,-131.16288660687928,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",20,9,-110.34941503567562,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 2}",1
