trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.95}",20,0,-37.59260764618735,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.8999999999999999}",20,0,-40.32347723455866,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.9, 'e': 0.8499999999999999}",25,0,-158.81204013894214,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.9, 'e': 0.7999999999999998}",30,0,-173.52196188259344,"{0: 16, 1: 2, 2: 10, 3: 0, 4: 2}",0
5,False,"{'a': 0.9, 'e': 0.7499999999999998}",30,0,-139.86077354640514,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.6999999999999997}",20,0,-99.33738905375114,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.6499999999999997}",20,0,-107.13092313150217,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.5999999999999996}",20,0,-87.29724974238746,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.5499999999999996}",20,0,-169.8111747654847,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.9, 'e': 0.4999999999999996}",30,0,-137.77131228135477,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.4499999999999996}",20,0,-107.34443608209835,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.9, 'e': 0.39999999999999963}",25,0,-140.7310807019679,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.9, 'e': 0.34999999999999964}",20,0,-117.85971947639146,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.9, 'e': 0.29999999999999966}",25,0,-159.38323063934504,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.9, 'e': 0.24999999999999967}",25,0,-136.00259640624265,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.9, 'e': 0.19999999999999968}",20,0,-27.811490336892202,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.1499999999999997}",20,3,-94.98273494683642,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 1}",1
18,False,"{'a': 0.9, 'e': 0.09999999999999969}",20,0,-109.69041927112431,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.049999999999999684}",20,0,-138.1973997790866,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.9, 'e': -3.191891195797325e-16}",25,0,-126.456876131393,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,6,-13.081049302049452,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,-55.9840167844957,"{0: 20, 1: 9, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-138.6404435165502,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,5,-69.59081249891712,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,0,-112.99899294316677,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-104.34780324385082,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,18,6.75677513540293,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-105.45887863703722,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,6,-34.199702712281,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-93.07469348954227,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
