trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9900498337491681}",20,0,-233.35184062819195,"{0: 8, 1: 0, 2: 8, 3: 0, 4: 4}",0
2,False,"{'a': 0.9, 'e': 0.9801986733067553}",20,0,-114.75863576196761,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.9704455335485082}",25,0,-109.9232528243663,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.9607894391523232}",20,0,-1.3548697960969438,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.9, 'e': 0.951229424500714}",25,10,13.78550015046504,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.9, 'e': 0.9417645335842487}",20,0,-72.89058499868993,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9323938199059483}",25,13,-19.71396788535565,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.9, 'e': 0.9231163463866358}",25,15,-24.169929194453776,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.9, 'e': 0.9139311852712282}",20,7,19.013038867460885,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 0.9048374180359595}",20,6,-41.98933890310893,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
11,False,"{'a': 0.9, 'e': 0.8958341352965282}",25,0,-5.353867918907738,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.8869204367171575}",30,6,10.56456830194812,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.9, 'e': 0.8780954309205613}",20,16,8.961589810211684,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.8693582353988059}",20,0,21.821967356901116,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.8607079764250578}",20,0,2.1752835846864227,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.8521437889662113}",30,9,-5.052783056776828,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.8436648165963837}",25,0,-24.370543167895903,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.835270211411272}",25,3,-4.623972727772003,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.9, 'e': 0.8269591339433623}",30,17,10.419209908612801,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 0.8187307530779818}",25,0,32.57273235617015,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.9, 'e': 0.8105842459701871}",25,0,14.778309051189177,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.8025187979624785}",20,12,13.871633433941822,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.794533602503334}",20,0,29.74078117623836,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.7866278610665535}",35,15,-5.576621450040022,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.9, 'e': 0.7788007830714049}",20,14,11.436487277520259,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.7710515858035663}",25,17,-27.925135716056793,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.9, 'e': 0.7633794943368531}",20,8,9.318628907371247,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.7557837414557255}",30,22,15.944877021930433,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.7482635675785653}",25,0,28.811613899257353,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.7408182206817179}",25,0,23.663135162492157,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.9, 'e': 0.7334469562242892}",25,8,27.5349803165132,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.7261490370736909}",25,16,14.726991786609416,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.7189237334319262}",25,1,12.579105406055621,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.7117703227626098}",30,13,5.120548095742358,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.9, 'e': 0.7046880897187134}",25,17,11.764254974634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.9, 'e': 0.697676326071031}",20,8,23.8348914649917,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.6907343306373547}",20,11,12.514027245001117,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.6838614092123558}",30,12,20.137986310887854,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
